iter	RMSE
0	14.09724991
1	13.23838515
2	12.35231191
3	11.59197673
4	10.86319163
5	10.24300434
6	9.685265313
7	9.146397964
8	8.736969815
9	8.313470873
10	7.967939033
11	7.606163992
12	7.303650336
13	7.034191133
14	6.782759748
15	6.567252508
16	6.353533106
17	6.19691592
18	6.038818391
19	5.906197409
20	5.7617409
21	5.648941624
22	5.534997887
23	5.446013812
24	5.348739824
25	5.259196457
26	5.179353623
27	5.116994704
28	5.052393418
29	4.991651843
30	4.960796921
31	4.899167021
32	4.851566356
33	4.812232032
34	4.759690381
35	4.712083055
36	4.665746651
37	4.636322314
38	4.60427694
39	4.574405246
40	4.543573849
41	4.509673246
42	4.4942447
43	4.484856537
44	4.478839475
45	4.453941318
46	4.435554033
47	4.426055673
48	4.418519975
49	4.415615294
50	4.389580372
51	4.366274495
52	4.353079857
53	4.33800249
54	4.327109281
55	4.294590219
56	4.274340337
57	4.254641847
58	4.237251169
59	4.209101871
60	4.192188445
61	4.156440394
62	4.141309824
63	4.119524204
64	4.102908129
65	4.102127311
66	4.073733048
67	4.049706975
68	4.028347224
69	3.990447282
70	3.965893347
71	3.956145276
72	3.942596289
73	3.929958854
74	3.901655681
75	3.871573401
76	3.871305405
77	3.858807963
78	3.841361088
79	3.822451517
80	3.802816512
81	3.791881511
82	3.784616778
83	3.762277515
84	3.752389703
85	3.731194258
86	3.713725378
87	3.70163686
88	3.694452021
89	3.683059219
90	3.665800797
91	3.639977709
92	3.623220964
93	3.615561192
94	3.592547776
95	3.58282472
96	3.570517054
97	3.557835709
98	3.53768175
99	3.527727121
