iter	Passed	Remaining
0	5	556
1	8	420
2	15	491
3	19	468
4	23	452
5	28	445
6	32	438
7	37	429
8	38	387
9	42	386
10	47	381
11	51	376
12	56	375
13	56	349
14	63	360
15	67	355
16	71	351
17	73	332
18	77	332
19	82	328
20	86	325
21	90	321
22	95	320
23	100	319
24	104	314
25	111	316
26	116	314
27	120	311
28	126	310
29	130	305
30	131	293
31	136	289
32	143	290
33	147	286
34	151	282
35	156	279
36	163	278
37	167	272
38	172	270
39	178	267
40	182	262
41	186	257
42	189	250
43	190	242
44	190	233
45	195	229
46	199	225
47	200	217
48	203	211
49	204	204
50	210	202
51	215	198
52	221	196
53	227	193
54	228	187
55	232	182
56	238	179
57	243	176
58	247	172
59	254	169
60	259	165
61	263	161
62	271	159
63	276	155
64	280	150
65	280	144
66	286	141
67	292	137
68	298	134
69	304	130
70	308	126
71	310	120
72	316	117
73	318	112
74	322	107
75	326	103
76	327	97
77	334	94
78	338	90
79	343	85
80	349	81
81	354	77
82	357	73
83	363	69
84	367	64
85	371	60
86	375	56
87	380	51
88	384	47
89	389	43
90	393	38
91	398	34
92	402	30
93	406	25
94	410	21
95	414	17
96	419	12
97	423	8
98	429	4
99	433	0
