iter	Passed	Remaining
0	1	1303
1	2	1107
2	3	1030
3	4	1097
4	6	1376
5	8	1365
6	9	1310
7	10	1265
8	11	1237
9	12	1225
10	13	1193
11	14	1161
12	14	1137
13	15	1119
14	17	1116
15	17	1104
16	20	1214
17	22	1209
18	23	1200
19	24	1189
20	25	1185
21	26	1177
22	27	1172
23	28	1165
24	29	1153
25	30	1149
26	31	1139
27	32	1128
28	36	1211
29	37	1222
30	38	1214
31	39	1199
32	40	1185
33	41	1170
34	42	1162
35	43	1158
36	44	1147
37	44	1138
38	45	1125
39	46	1113
40	47	1114
41	49	1130
42	50	1127
43	51	1118
44	52	1111
45	53	1105
46	54	1110
47	55	1105
48	56	1104
49	58	1112
50	59	1114
51	61	1127
52	63	1133
53	64	1133
54	66	1136
55	67	1136
56	69	1146
57	70	1151
58	72	1150
59	73	1151
60	75	1155
61	76	1156
62	77	1152
63	78	1146
64	79	1140
65	80	1135
66	81	1129
67	81	1122
68	83	1126
69	84	1121
70	85	1115
71	86	1109
72	86	1104
73	87	1099
74	89	1099
75	91	1107
76	92	1103
77	92	1097
78	93	1093
79	94	1092
80	95	1087
81	96	1083
82	97	1074
83	97	1067
84	98	1061
85	99	1056
86	100	1051
87	101	1047
88	102	1049
89	103	1049
90	104	1046
91	105	1042
92	106	1036
93	107	1031
94	107	1025
95	108	1020
96	109	1015
97	109	1009
98	110	1005
99	111	1001
100	112	997
101	112	993
102	113	988
103	114	983
104	114	979
105	115	974
106	116	974
107	118	975
108	119	974
109	120	971
110	121	970
111	122	969
112	123	966
113	123	963
114	124	960
115	125	956
116	126	952
117	126	949
118	127	945
119	128	941
120	129	938
121	129	933
122	131	935
123	132	936
124	133	933
125	134	930
126	134	927
127	136	927
128	137	928
129	138	926
130	139	922
131	139	919
132	140	918
133	141	917
134	142	915
135	144	920
136	147	927
137	148	928
138	149	928
139	150	925
140	151	923
141	152	919
142	153	918
143	154	915
144	154	912
145	155	909
146	156	905
147	157	904
148	159	908
149	161	912
150	162	911
151	163	910
152	164	908
153	164	906
154	165	904
155	166	901
156	167	898
157	168	895
158	168	892
159	169	889
160	170	886
161	171	886
162	172	886
163	173	885
164	174	885
165	176	885
166	177	885
167	178	883
168	179	881
169	180	879
170	181	880
171	183	881
172	184	880
173	185	881
174	186	880
175	187	878
176	189	879
177	190	878
178	191	876
179	192	877
180	194	879
181	197	887
182	199	890
183	200	890
184	202	891
185	203	890
186	204	889
187	205	889
188	207	888
189	208	889
190	210	891
191	213	898
192	214	897
193	215	897
194	217	899
195	219	899
196	220	898
197	221	896
198	222	894
199	223	895
200	225	894
201	226	894
202	227	892
203	228	892
204	230	892
205	231	891
206	232	890
207	233	887
208	233	885
209	235	884
210	236	885
211	238	885
212	239	885
213	241	886
214	242	885
215	243	884
216	244	882
217	246	883
218	247	882
219	248	882
220	250	882
221	251	882
222	253	884
223	255	886
224	258	889
225	259	890
226	261	889
227	262	888
228	264	889
229	266	893
230	267	891
231	269	890
232	270	889
233	270	887
234	271	885
235	272	882
236	273	880
237	274	878
238	275	876
239	276	875
240	277	873
241	280	877
242	281	875
243	282	874
244	283	872
245	284	870
246	285	869
247	286	867
248	287	866
249	288	864
250	289	863
251	290	861
252	290	859
253	292	857
254	293	856
255	293	854
256	295	853
257	296	851
258	297	850
259	298	849
260	299	847
261	300	845
262	300	842
263	301	840
264	302	838
265	302	835
266	303	834
267	304	832
268	305	831
269	306	829
270	307	827
271	308	825
272	309	823
273	309	821
274	310	818
275	311	816
276	311	814
277	312	811
278	313	809
279	314	808
280	315	807
281	316	805
282	317	803
283	318	801
284	320	804
285	321	802
286	322	800
287	323	798
288	323	796
289	324	794
290	325	792
291	325	790
292	326	788
293	327	786
294	328	784
295	328	782
296	329	780
297	330	778
298	331	776
299	332	774
300	333	773
301	334	772
302	335	770
303	335	768
304	336	766
305	337	764
306	337	762
307	338	761
308	339	759
309	340	757
310	341	755
311	341	753
312	342	751
313	343	749
314	344	748
315	345	747
316	346	745
317	346	743
318	348	742
319	348	741
320	349	740
321	350	738
322	351	736
323	352	735
324	352	733
325	353	731
326	354	729
327	355	727
328	355	725
329	356	723
330	357	721
331	357	719
332	358	717
333	359	716
334	359	714
335	360	712
336	361	711
337	362	710
338	363	708
339	364	706
340	364	705
341	365	703
342	366	701
343	367	700
344	367	698
345	368	696
346	369	695
347	370	693
348	370	691
349	371	689
350	372	688
351	372	686
352	373	684
353	374	683
354	375	682
355	376	681
356	377	679
357	378	678
358	378	676
359	379	674
360	380	673
361	381	671
362	381	670
363	382	668
364	383	666
365	383	665
366	384	663
367	385	661
368	386	660
369	386	658
370	387	657
371	388	655
372	389	654
373	390	653
374	391	652
375	391	650
376	392	648
377	393	647
378	393	645
379	394	643
380	395	642
381	395	640
382	396	638
383	397	637
384	398	635
385	398	634
386	399	632
387	400	630
388	400	629
389	401	627
390	402	626
391	403	625
392	404	624
393	405	623
394	405	621
395	406	620
396	407	618
397	408	617
398	408	615
399	409	614
400	410	612
401	410	611
402	411	609
403	412	607
404	412	606
405	413	604
406	414	603
407	414	601
408	415	600
409	416	598
410	416	597
411	418	597
412	419	596
413	420	595
414	421	593
415	422	592
416	422	591
417	423	590
418	424	588
419	425	587
420	425	585
421	426	584
422	427	583
423	428	581
424	428	580
425	429	578
426	430	577
427	431	577
428	433	577
429	434	576
430	435	575
431	436	574
432	437	572
433	438	571
434	438	569
435	439	568
436	440	567
437	440	565
438	441	564
439	442	562
440	442	561
441	443	559
442	444	558
443	444	557
444	445	556
445	447	555
446	448	554
447	448	553
448	449	551
449	450	550
450	451	549
451	451	547
452	452	546
453	453	545
454	453	543
455	454	542
456	455	540
457	456	539
458	456	538
459	457	537
460	458	535
461	459	534
462	460	533
463	461	532
464	461	531
465	462	529
466	463	528
467	463	527
468	464	525
469	464	524
470	465	522
471	466	521
472	466	520
473	467	518
474	468	517
475	468	515
476	469	514
477	469	513
478	470	511
479	471	510
480	471	509
481	472	507
482	473	506
483	473	505
484	474	504
485	475	503
486	476	501
487	477	500
488	477	499
489	478	497
490	478	496
491	479	495
492	480	493
493	480	492
494	481	491
495	482	489
496	482	488
497	483	487
498	484	485
499	484	484
500	485	483
501	486	482
502	486	480
503	487	479
504	487	478
505	489	477
506	490	476
507	490	475
508	491	474
509	492	472
510	492	471
511	493	470
512	494	469
513	494	467
514	495	466
515	495	465
516	496	463
517	497	462
518	497	461
519	498	460
520	499	459
521	499	457
522	500	456
523	501	455
524	501	453
525	502	452
526	503	451
527	504	450
528	505	449
529	506	448
530	506	447
531	507	446
532	508	445
533	508	443
534	509	442
535	509	441
536	510	440
537	511	439
538	512	438
539	512	436
540	513	435
541	514	434
542	514	433
543	515	432
544	516	430
545	518	431
546	519	430
547	520	429
548	521	428
549	521	427
550	522	426
551	523	425
552	524	424
553	525	422
554	526	421
555	526	420
556	527	419
557	527	418
558	528	416
559	529	415
560	530	414
561	530	413
562	533	413
563	533	412
564	534	411
565	535	410
566	536	409
567	536	408
568	537	407
569	538	405
570	538	404
571	539	403
572	540	402
573	540	401
574	541	400
575	542	399
576	543	398
577	543	396
578	544	395
579	544	394
580	546	394
581	547	393
582	548	392
583	549	391
584	550	390
585	550	389
586	551	387
587	551	386
588	552	385
589	553	384
590	554	383
591	555	382
592	555	381
593	556	380
594	556	379
595	557	378
596	560	378
597	561	377
598	562	376
599	563	375
600	564	374
601	564	373
602	565	372
603	566	371
604	567	370
605	567	369
606	568	367
607	569	366
608	569	365
609	570	364
610	571	363
611	571	362
612	572	361
613	573	360
614	574	359
615	575	358
616	576	357
617	576	356
618	577	355
619	578	354
620	579	353
621	579	352
622	580	351
623	581	350
624	581	349
625	582	348
626	583	346
627	583	345
628	584	344
629	585	343
630	585	342
631	586	341
632	587	340
633	588	339
634	589	338
635	589	337
636	590	336
637	591	335
638	592	334
639	592	333
640	593	332
641	594	331
642	595	330
643	595	329
644	596	328
645	597	327
646	597	326
647	598	325
648	599	324
649	599	322
650	600	321
651	601	320
652	602	320
653	603	319
654	603	318
655	604	317
656	605	316
657	606	315
658	606	313
659	607	312
660	607	311
661	608	310
662	609	309
663	609	308
664	610	307
